Contract_ID,Client_ID,Equipment_ID,Origination_Date,Asset_Cost_INR,Down_Payment_INR,Financed_Amount_INR,Tenure_Months,Interest_Rate_Pct,Athena_Risk_Score,Athena_Recommendation,Loan_Status
EQF-2025-00083,CUST-00083,EQ-011,06-01-2025,7051000,705100,6345900,48,7.29,39.9,AUTO_APPROVE,Performing
EQF-2025-00084,CUST-00084,EQ-009,06-01-2025,5002000,1250500,3751500,36,11.74,52.1,STRUCTURED_LEASE,Performing
EQF-2025-00085,CUST-00085,EQ-011,06-01-2025,5767000,1441750,4325250,48,7.97,99,REJECT,60_Days_Past_Due
EQF-2025-00086,CUST-00086,EQ-012,06-01-2025,7748000,774800,6973200,60,10.29,84.8,REJECT,Performing
EQF-2025-00087,CUST-00087,EQ-013,06-01-2025,2431000,243100,2187900,48,10.33,65.6,REQUIRE_COLLATERAL,Performing
EQF-2025-00088,CUST-00088,EQ-004,06-01-2025,7491000,1123650,6367350,36,7,46,STRUCTURED_LEASE,Performing
EQF-2025-00089,CUST-00089,EQ-007,06-01-2025,1147000,172050,974950,36,9.84,87,REJECT,Performing
EQF-2025-00090,CUST-00090,EQ-004,06-01-2025,9552000,955200,8596800,36,11.96,43.7,STRUCTURED_LEASE,Performing
EQF-2025-00091,CUST-00091,EQ-006,06-01-2025,5437000,815550,4621450,36,8.43,78.7,REQUIRE_COLLATERAL,Performing
EQF-2025-00092,CUST-00092,EQ-013,06-01-2025,3749000,749800,2999200,36,7,56.5,STRUCTURED_LEASE,Performing
EQF-2025-00093,CUST-00093,EQ-013,06-01-2025,3872000,387200,3484800,36,9.32,83.7,REJECT,Default
EQF-2025-00094,CUST-00094,EQ-008,06-01-2025,4978000,746700,4231300,24,10.2,53.1,STRUCTURED_LEASE,Performing
EQF-2025-00095,CUST-00095,EQ-003,06-01-2025,2987000,746750,2240250,36,9.37,94.4,REJECT,Performing
EQF-2025-00096,CUST-00096,EQ-008,06-01-2025,10628000,1062800,9565200,36,8.07,61,STRUCTURED_LEASE,Performing
EQF-2025-00097,CUST-00097,EQ-010,07-01-2025,9017000,901700,8115300,48,7.95,74.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00098,CUST-00098,EQ-011,07-01-2025,14665000,3666250,10998750,48,7.07,72.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00099,CUST-00099,EQ-009,07-01-2025,6724000,1681000,5043000,36,7,44,STRUCTURED_LEASE,60_Days_Past_Due
EQF-2025-00100,CUST-00100,EQ-009,07-01-2025,2729000,409350,2319650,48,8.99,30.4,AUTO_APPROVE,Performing
EQF-2025-00101,CUST-00101,EQ-009,07-01-2025,1952000,488000,1464000,48,10.14,73.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00102,CUST-00102,EQ-004,07-01-2025,7410000,1482000,5928000,36,9.74,58.9,STRUCTURED_LEASE,Performing
EQF-2025-00103,CUST-00103,EQ-011,07-01-2025,7936000,793600,7142400,24,9.88,69.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00104,CUST-00104,EQ-004,07-01-2025,4841000,968200,3872800,48,10.45,78.3,REQUIRE_COLLATERAL,60_Days_Past_Due
EQF-2025-00105,CUST-00105,EQ-015,07-01-2025,4997000,749550,4247450,36,11.46,91,REJECT,Performing
EQF-2025-00106,CUST-00106,EQ-005,07-01-2025,4069000,1017250,3051750,24,9.54,75.4,REQUIRE_COLLATERAL,60_Days_Past_Due
EQF-2025-00107,CUST-00107,EQ-012,07-01-2025,7487000,748700,6738300,60,10.02,64.3,STRUCTURED_LEASE,Performing
EQF-2025-00108,CUST-00108,EQ-013,07-01-2025,4430000,1107500,3322500,36,10.03,61.6,STRUCTURED_LEASE,Performing
EQF-2025-00109,CUST-00109,EQ-009,07-01-2025,7424000,1856000,5568000,48,9.72,81.5,REJECT,Performing
EQF-2025-00110,CUST-00110,EQ-006,07-01-2025,3995000,599250,3395750,36,9.53,75.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00111,CUST-00111,EQ-001,07-01-2025,13157000,1973550,11183450,24,9.65,76.9,REQUIRE_COLLATERAL,Performing
EQF-2025-00112,CUST-00112,EQ-009,07-01-2025,7455000,1118250,6336750,24,11.84,94.9,REJECT,Default
EQF-2025-00113,CUST-00113,EQ-015,08-01-2025,3004000,450600,2553400,48,11.65,66.1,REQUIRE_COLLATERAL,30_Days_Past_Due
EQF-2025-00114,CUST-00114,EQ-003,08-01-2025,1453000,145300,1307700,36,7,70.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00115,CUST-00115,EQ-004,08-01-2025,2513000,502600,2010400,36,9.83,44.6,STRUCTURED_LEASE,Performing
EQF-2025-00116,CUST-00116,EQ-007,08-01-2025,3521000,704200,2816800,60,9.51,96.5,REJECT,Performing
EQF-2025-00117,CUST-00117,EQ-013,08-01-2025,2507000,250700,2256300,36,11.39,50.6,STRUCTURED_LEASE,Performing
EQF-2025-00118,CUST-00118,EQ-006,08-01-2025,8480000,2120000,6360000,24,9.45,47.8,STRUCTURED_LEASE,Performing
EQF-2025-00119,CUST-00119,EQ-007,08-01-2025,4817000,481700,4335300,36,9.88,49.1,STRUCTURED_LEASE,Performing
EQF-2025-00120,CUST-00120,EQ-004,08-01-2025,8971000,1794200,7176800,48,8.53,62.1,STRUCTURED_LEASE,Performing
EQF-2025-00121,CUST-00121,EQ-003,08-01-2025,4830000,966000,3864000,36,10.72,44.1,STRUCTURED_LEASE,Performing
EQF-2025-00122,CUST-00122,EQ-007,08-01-2025,5416000,541600,4874400,24,7.63,55.1,STRUCTURED_LEASE,Performing
EQF-2025-00123,CUST-00123,EQ-001,08-01-2025,7500000,1125000,6375000,36,9.04,70.4,REQUIRE_COLLATERAL,Default
EQF-2025-00124,CUST-00124,EQ-009,08-01-2025,2662000,665500,1996500,24,7.92,72.5,REQUIRE_COLLATERAL,Performing
EQF-2025-00125,CUST-00125,EQ-006,08-01-2025,6721000,672100,6048900,48,9.05,72.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00126,CUST-00126,EQ-012,08-01-2025,8161000,1632200,6528800,48,8.68,47.2,STRUCTURED_LEASE,Performing
EQF-2025-00127,CUST-00127,EQ-003,08-01-2025,2998000,449700,2548300,24,10.76,45.9,STRUCTURED_LEASE,Performing
EQF-2025-00128,CUST-00128,EQ-015,08-01-2025,4078000,1019500,3058500,36,9.17,47.1,STRUCTURED_LEASE,60_Days_Past_Due
EQF-2025-00129,CUST-00129,EQ-009,09-01-2025,7855000,1571000,6284000,36,11.74,75.1,REQUIRE_COLLATERAL,Performing
EQF-2025-00130,CUST-00130,EQ-010,09-01-2025,6062000,1515500,4546500,48,9.14,99,REJECT,Performing
EQF-2025-00131,CUST-00131,EQ-012,09-01-2025,12616000,1892400,10723600,36,7.88,50.9,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00132,CUST-00132,EQ-009,09-01-2025,3378000,675600,2702400,36,9.14,54,STRUCTURED_LEASE,60_Days_Past_Due
EQF-2025-00133,CUST-00133,EQ-009,09-01-2025,6386000,957900,5428100,60,10.22,64.4,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00134,CUST-00134,EQ-011,09-01-2025,4017000,401700,3615300,24,12.03,57.6,STRUCTURED_LEASE,Performing
EQF-2025-00135,CUST-00135,EQ-002,09-01-2025,5332000,533200,4798800,60,8.53,81.9,REJECT,Performing
EQF-2025-00136,CUST-00136,EQ-001,09-01-2025,4334000,1083500,3250500,24,11.99,63.7,STRUCTURED_LEASE,Performing
EQF-2025-00137,CUST-00137,EQ-004,09-01-2025,8558000,1283700,7274300,36,9.22,81.7,REJECT,Default
EQF-2025-00138,CUST-00138,EQ-014,09-01-2025,1376000,206400,1169600,36,8.83,55.8,STRUCTURED_LEASE,Performing
EQF-2025-00139,CUST-00139,EQ-012,09-01-2025,6929000,1732250,5196750,24,10.66,38.6,AUTO_APPROVE,Performing
EQF-2025-00140,CUST-00140,EQ-002,09-01-2025,3385000,846250,2538750,24,11.64,66.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00141,CUST-00141,EQ-007,09-01-2025,2984000,746000,2238000,36,10.34,83.2,REJECT,Performing
EQF-2025-00142,CUST-00142,EQ-001,09-01-2025,6110000,611000,5499000,60,7.38,34.1,AUTO_APPROVE,Performing
EQF-2025-00143,CUST-00143,EQ-008,09-01-2025,5337000,1334250,4002750,36,10,62,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00144,CUST-00144,EQ-011,09-01-2025,12005000,1200500,10804500,48,12.76,84.1,REJECT,Performing
EQF-2025-00145,CUST-00145,EQ-011,10-01-2025,11362000,2840500,8521500,48,7,65.5,REQUIRE_COLLATERAL,Performing
EQF-2025-00146,CUST-00146,EQ-009,10-01-2025,2003000,300450,1702550,48,10.06,70.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00147,CUST-00147,EQ-004,10-01-2025,8852000,1327800,7524200,48,9.07,63.7,STRUCTURED_LEASE,Performing
EQF-2025-00148,CUST-00148,EQ-008,10-01-2025,2951000,737750,2213250,36,8.1,84.2,REJECT,60_Days_Past_Due
EQF-2025-00149,CUST-00149,EQ-006,10-01-2025,5300000,1325000,3975000,24,11.05,49.5,STRUCTURED_LEASE,Performing
EQF-2025-00150,CUST-00150,EQ-011,10-01-2025,6861000,686100,6174900,36,7,42.7,STRUCTURED_LEASE,Performing
EQF-2025-00151,CUST-00151,EQ-015,10-01-2025,3856000,771200,3084800,36,8.97,46.3,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00152,CUST-00152,EQ-005,10-01-2025,3329000,332900,2996100,24,11,54.6,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00153,CUST-00153,EQ-005,10-01-2025,8395000,1259250,7135750,24,10.83,55.6,STRUCTURED_LEASE,Performing
EQF-2025-00154,CUST-00154,EQ-004,10-01-2025,5133000,1283250,3849750,60,10.39,59.7,STRUCTURED_LEASE,Performing
EQF-2025-00155,CUST-00155,EQ-007,10-01-2025,2058000,308700,1749300,60,9.76,64,STRUCTURED_LEASE,Performing
EQF-2025-00156,CUST-00156,EQ-009,10-01-2025,3449000,689800,2759200,24,9.31,62.3,STRUCTURED_LEASE,Performing
EQF-2025-00157,CUST-00157,EQ-013,10-01-2025,4607000,460700,4146300,36,8.79,72.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00158,CUST-00158,EQ-013,10-01-2025,3618000,542700,3075300,24,8.04,41.1,STRUCTURED_LEASE,Performing
EQF-2025-00159,CUST-00159,EQ-009,10-01-2025,6615000,661500,5953500,36,10.72,50.5,STRUCTURED_LEASE,Performing
EQF-2025-00160,CUST-00160,EQ-014,10-01-2025,4688000,1172000,3516000,36,9.82,69.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00161,CUST-00161,EQ-012,11-01-2025,14031000,2104650,11926350,60,10.76,43.2,STRUCTURED_LEASE,Performing
EQF-2025-00162,CUST-00162,EQ-010,11-01-2025,8781000,1756200,7024800,24,8.33,46.1,STRUCTURED_LEASE,Performing
EQF-2025-00163,CUST-00163,EQ-004,11-01-2025,4182000,418200,3763800,36,8.3,55.3,STRUCTURED_LEASE,Performing
EQF-2025-00164,CUST-00164,EQ-008,11-01-2025,9669000,966900,8702100,24,10.24,75.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00165,CUST-00165,EQ-006,11-01-2025,2926000,585200,2340800,60,7,53.2,STRUCTURED_LEASE,Performing
EQF-2025-00166,CUST-00166,EQ-003,11-01-2025,4023000,603450,3419550,60,7,60.4,STRUCTURED_LEASE,Performing
EQF-2025-00167,CUST-00167,EQ-012,11-01-2025,11542000,1731300,9810700,48,11.02,38.5,AUTO_APPROVE,Performing
EQF-2025-00168,CUST-00168,EQ-009,11-01-2025,6812000,681200,6130800,36,8.44,59.7,STRUCTURED_LEASE,Performing
EQF-2025-00169,CUST-00169,EQ-009,11-01-2025,5229000,1045800,4183200,36,9.79,50.2,STRUCTURED_LEASE,Performing
EQF-2025-00170,CUST-00170,EQ-010,11-01-2025,7929000,792900,7136100,36,10.07,73.5,REQUIRE_COLLATERAL,Performing
EQF-2025-00171,CUST-00171,EQ-003,11-01-2025,4823000,482300,4340700,36,11.05,59.5,STRUCTURED_LEASE,Performing
EQF-2025-00172,CUST-00172,EQ-006,11-01-2025,2208000,552000,1656000,48,8.84,44.4,STRUCTURED_LEASE,Performing
EQF-2025-00173,CUST-00173,EQ-010,11-01-2025,5125000,768750,4356250,36,8.92,61.9,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00174,CUST-00174,EQ-009,11-01-2025,5779000,866850,4912150,36,8.58,71,REQUIRE_COLLATERAL,Performing
EQF-2025-00175,CUST-00175,EQ-008,11-01-2025,10694000,2673500,8020500,48,10.43,46.3,STRUCTURED_LEASE,Performing
EQF-2025-00176,CUST-00176,EQ-009,11-01-2025,2169000,325350,1843650,36,10.5,63,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00177,CUST-00177,EQ-014,12-01-2025,1286000,192900,1093100,48,11.42,56.6,STRUCTURED_LEASE,Performing
EQF-2025-00178,CUST-00178,EQ-012,12-01-2025,4613000,691950,3921050,36,7.63,69.2,REQUIRE_COLLATERAL,Default
EQF-2025-00179,CUST-00179,EQ-002,12-01-2025,1073000,214600,858400,24,12.85,82.5,REJECT,Performing
EQF-2025-00180,CUST-00180,EQ-009,12-01-2025,7855000,1963750,5891250,36,9.03,67.9,REQUIRE_COLLATERAL,Performing
EQF-2025-00181,CUST-00181,EQ-001,12-01-2025,11934000,1193400,10740600,60,9.43,60.4,STRUCTURED_LEASE,Performing
EQF-2025-00182,CUST-00182,EQ-005,12-01-2025,6240000,1248000,4992000,36,9.75,43.7,STRUCTURED_LEASE,Performing
EQF-2025-00183,CUST-00183,EQ-015,12-01-2025,3517000,351700,3165300,36,8.13,73.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00184,CUST-00184,EQ-007,12-01-2025,4866000,1216500,3649500,24,8.88,46.1,STRUCTURED_LEASE,Performing
EQF-2025-00185,CUST-00185,EQ-012,12-01-2025,5712000,1428000,4284000,48,11.69,69.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00186,CUST-00186,EQ-014,12-01-2025,2689000,672250,2016750,48,11.71,72.6,REQUIRE_COLLATERAL,Performing
EQF-2025-00187,CUST-00187,EQ-014,12-01-2025,3062000,459300,2602700,36,9.81,65.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00188,CUST-00188,EQ-004,12-01-2025,3438000,687600,2750400,36,11.07,55,STRUCTURED_LEASE,Performing
EQF-2025-00189,CUST-00189,EQ-010,12-01-2025,6066000,1516500,4549500,60,10.12,65.8,REQUIRE_COLLATERAL,Performing
EQF-2025-00190,CUST-00190,EQ-006,12-01-2025,3716000,371600,3344400,48,9.41,77.5,REQUIRE_COLLATERAL,Performing
EQF-2025-00191,CUST-00191,EQ-009,12-01-2025,1749000,262350,1486650,48,8.37,55.9,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00192,CUST-00192,EQ-015,12-01-2025,1511000,226650,1284350,36,8.21,52,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00193,CUST-00193,EQ-015,13-01-2025,4773000,954600,3818400,36,8.36,74.6,REQUIRE_COLLATERAL,Performing
EQF-2025-00194,CUST-00194,EQ-010,13-01-2025,2653000,530600,2122400,48,11.92,57.8,STRUCTURED_LEASE,Performing
EQF-2025-00195,CUST-00195,EQ-001,13-01-2025,14277000,2855400,11421600,48,10.81,82.3,REJECT,Default
EQF-2025-00196,CUST-00196,EQ-011,13-01-2025,4951000,742650,4208350,48,11.66,65.3,REQUIRE_COLLATERAL,30_Days_Past_Due
EQF-2025-00197,CUST-00197,EQ-003,13-01-2025,4237000,1059250,3177750,24,10.1,42.8,STRUCTURED_LEASE,Performing
EQF-2025-00198,CUST-00198,EQ-015,13-01-2025,5473000,547300,4925700,48,8.18,61.2,STRUCTURED_LEASE,Performing
EQF-2025-00199,CUST-00199,EQ-002,13-01-2025,5694000,1423500,4270500,48,10.4,55.9,STRUCTURED_LEASE,Performing
EQF-2025-00200,CUST-00200,EQ-013,13-01-2025,4496000,449600,4046400,60,11.4,56.3,STRUCTURED_LEASE,Performing
EQF-2025-00201,CUST-00201,EQ-004,13-01-2025,4944000,1236000,3708000,24,10.46,77.1,REQUIRE_COLLATERAL,Performing
