Contract_ID,Origination_Date,Client_Industry,Equipment_Category,Asset_Cost_INR,Down_Payment_INR,Financed_Amount_INR,Tenure_Months,Interest_Rate_Pct,Client_Credit_Score,Athena_Risk_Score,Athena_Recommendation,Loan_Status
EQF-2025-00029,02-01-2025,Construction,Hydraulic Excavator,7120000,1068000,6052000,60,9.65,708,62.7,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00030,02-01-2025,Manufacturing,Injection Molding Press,6482000,1620500,4861500,24,8.86,790,41.3,STRUCTURED_LEASE,Performing
EQF-2025-00031,02-01-2025,Construction,Tower Crane,4293000,429300,3863700,48,7.58,713,58.9,STRUCTURED_LEASE,Performing
EQF-2025-00032,02-01-2025,Manufacturing,Industrial Robotic Arm,6208000,620800,5587200,48,7.72,700,64.9,STRUCTURED_LEASE,60_Days_Past_Due
EQF-2025-00033,03-01-2025,Manufacturing,CNC Milling Unit,6430000,1607500,4822500,48,10.77,624,86.6,REJECT,Default
EQF-2025-00034,03-01-2025,IT & Enterprise Tech,Automated Storage Array,3705000,926250,2778750,48,10.18,600,86.1,REJECT,Default
EQF-2025-00035,03-01-2025,IT & Enterprise Tech,Automated Storage Array,5499000,549900,4949100,36,7.75,687,62.2,STRUCTURED_LEASE,Performing
EQF-2025-00036,03-01-2025,Logistics & Fleet,Electric Delivery Van,1622000,405500,1216500,36,7.72,550,96.2,REJECT,Default
EQF-2025-00037,03-01-2025,Healthcare,Surgical Robot,5948000,594800,5353200,60,12.65,790,57.8,STRUCTURED_LEASE,Performing
EQF-2025-00038,03-01-2025,Manufacturing,Industrial Robotic Arm,4501000,1125250,3375750,36,10.2,767,49.1,STRUCTURED_LEASE,Performing
EQF-2025-00039,03-01-2025,Logistics & Fleet,Electric Delivery Van,1682000,168200,1513800,36,11.31,754,46.9,STRUCTURED_LEASE,Performing
EQF-2025-00040,03-01-2025,Healthcare,Digital X-Ray System,10229000,1534350,8694650,48,11.74,782,50.7,STRUCTURED_LEASE,Performing
EQF-2025-00041,03-01-2025,Manufacturing,Injection Molding Press,4289000,643350,3645650,60,8.11,692,66.9,REQUIRE_COLLATERAL,Performing
EQF-2025-00042,03-01-2025,Construction,Tower Crane,4919000,1229750,3689250,48,12.11,724,73,REQUIRE_COLLATERAL,Performing
EQF-2025-00043,03-01-2025,Manufacturing,Industrial Robotic Arm,2690000,538000,2152000,36,7.88,685,62.5,STRUCTURED_LEASE,Performing
EQF-2025-00044,03-01-2025,IT & Enterprise Tech,Enterprise Server Rack,2544000,381600,2162400,36,10.59,782,51.6,STRUCTURED_LEASE,Performing
EQF-2025-00045,03-01-2025,Healthcare,Digital X-Ray System,10688000,1068800,9619200,48,9.33,550,97,REJECT,Performing
EQF-2025-00046,03-01-2025,Logistics & Fleet,Electric Delivery Van,3388000,677600,2710400,24,10.59,782,35.1,AUTO_APPROVE,Performing
EQF-2025-00047,03-01-2025,Healthcare,MRI Scanner,5800000,580000,5220000,36,9.18,591,92.9,REJECT,Default
EQF-2025-00048,03-01-2025,Construction,Hydraulic Excavator,3562000,356200,3205800,36,10.32,696,63.5,STRUCTURED_LEASE,Performing
EQF-2025-00049,04-01-2025,Construction,Bulldozer,2727000,409050,2317950,48,11.54,641,90.4,REJECT,Default
EQF-2025-00050,04-01-2025,Manufacturing,Industrial Robotic Arm,1587000,396750,1190250,36,11.18,701,67.1,REQUIRE_COLLATERAL,Performing
EQF-2025-00051,04-01-2025,IT & Enterprise Tech,Automated Storage Array,5375000,1343750,4031250,36,9.41,674,77.1,REQUIRE_COLLATERAL,Performing
EQF-2025-00052,04-01-2025,Logistics & Fleet,Forklift Fleet,1371000,137100,1233900,24,8.07,684,77.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00053,04-01-2025,IT & Enterprise Tech,Enterprise Server Rack,4602000,690300,3911700,24,9.05,745,52.4,STRUCTURED_LEASE,Performing
EQF-2025-00054,04-01-2025,IT & Enterprise Tech,Automated Storage Array,5334000,533400,4800600,36,10.17,724,54.1,STRUCTURED_LEASE,Performing
EQF-2025-00055,04-01-2025,Construction,Tower Crane,3333000,666600,2666400,48,10.48,774,56.9,STRUCTURED_LEASE,Performing
EQF-2025-00056,04-01-2025,IT & Enterprise Tech,Enterprise Server Rack,3069000,306900,2762100,48,11.11,737,65.6,REQUIRE_COLLATERAL,Performing
EQF-2025-00057,04-01-2025,Manufacturing,Industrial Robotic Arm,8236000,1235400,7000600,36,8.4,606,76.8,REQUIRE_COLLATERAL,30_Days_Past_Due
EQF-2025-00058,04-01-2025,Manufacturing,Industrial Robotic Arm,7339000,733900,6605100,36,8.1,850,25.3,AUTO_APPROVE,Performing
EQF-2025-00059,04-01-2025,Manufacturing,CNC Milling Unit,4928000,739200,4188800,36,7.97,580,85.5,REJECT,Default
EQF-2025-00060,04-01-2025,Healthcare,Digital X-Ray System,12388000,3097000,9291000,36,9.2,730,59.2,STRUCTURED_LEASE,Performing
EQF-2025-00061,04-01-2025,Healthcare,MRI Scanner,13167000,1975050,11191950,24,9.82,757,44.7,STRUCTURED_LEASE,Performing
EQF-2025-00062,04-01-2025,Healthcare,Digital X-Ray System,7828000,1565600,6262400,24,10.05,729,50.7,STRUCTURED_LEASE,Performing
EQF-2025-00063,04-01-2025,Logistics & Fleet,Heavy Duty Hauler,4590000,688500,3901500,36,7.38,696,55.1,STRUCTURED_LEASE,Performing
EQF-2025-00064,04-01-2025,Healthcare,Surgical Robot,9175000,1835000,7340000,60,8.07,806,36.1,AUTO_APPROVE,Performing
EQF-2025-00065,05-01-2025,Healthcare,Digital X-Ray System,9806000,1961200,7844800,36,8.45,783,47.3,STRUCTURED_LEASE,Performing
EQF-2025-00066,05-01-2025,Construction,Hydraulic Excavator,10998000,1099800,9898200,60,12.14,708,76.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00067,05-01-2025,Manufacturing,Industrial Robotic Arm,7403000,1480600,5922400,36,8.93,680,71.8,REQUIRE_COLLATERAL,Performing
EQF-2025-00068,05-01-2025,Logistics & Fleet,Electric Delivery Van,2575000,386250,2188750,36,7.28,656,65.9,REQUIRE_COLLATERAL,60_Days_Past_Due
EQF-2025-00069,05-01-2025,Manufacturing,Industrial Robotic Arm,1572000,393000,1179000,48,10.07,662,74.2,REQUIRE_COLLATERAL,30_Days_Past_Due
EQF-2025-00070,05-01-2025,IT & Enterprise Tech,Enterprise Server Rack,4056000,608400,3447600,24,9.34,706,61.1,STRUCTURED_LEASE,Performing
EQF-2025-00071,05-01-2025,Logistics & Fleet,Forklift Fleet,3875000,968750,2906250,36,7.74,602,86.8,REJECT,Performing
EQF-2025-00072,05-01-2025,Manufacturing,Injection Molding Press,6056000,1211200,4844800,60,8.79,709,73.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00073,05-01-2025,Manufacturing,Injection Molding Press,8275000,827500,7447500,48,8.99,762,48,STRUCTURED_LEASE,Performing
EQF-2025-00074,05-01-2025,Logistics & Fleet,Heavy Duty Hauler,4479000,895800,3583200,24,9.32,673,71.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00075,05-01-2025,Logistics & Fleet,Forklift Fleet,2906000,581200,2324800,24,10.89,708,69.9,REQUIRE_COLLATERAL,Performing
EQF-2025-00076,05-01-2025,Logistics & Fleet,Heavy Duty Hauler,1439000,359750,1079250,60,10.34,729,69.5,REQUIRE_COLLATERAL,Performing
EQF-2025-00077,05-01-2025,Logistics & Fleet,Electric Delivery Van,3009000,451350,2557650,60,9.69,741,69.1,REQUIRE_COLLATERAL,Performing
EQF-2025-00078,05-01-2025,Manufacturing,Industrial Robotic Arm,6325000,632500,5692500,36,10.98,696,71.5,REQUIRE_COLLATERAL,60_Days_Past_Due
EQF-2025-00079,05-01-2025,Healthcare,Surgical Robot,10685000,1068500,9616500,36,8.89,824,30.5,AUTO_APPROVE,Performing
EQF-2025-00080,05-01-2025,Manufacturing,CNC Milling Unit,5267000,526700,4740300,48,8.41,710,68.4,REQUIRE_COLLATERAL,60_Days_Past_Due
EQF-2025-00081,06-01-2025,IT & Enterprise Tech,Edge AI Compute Cluster,3238000,323800,2914200,36,9.96,623,84.6,REJECT,60_Days_Past_Due
EQF-2025-00082,06-01-2025,Construction,Hydraulic Excavator,4997000,749550,4247450,36,9.85,684,63.9,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00083,06-01-2025,Healthcare,MRI Scanner,7051000,705100,6345900,48,7.29,794,39.9,AUTO_APPROVE,Performing
EQF-2025-00084,06-01-2025,Manufacturing,Industrial Robotic Arm,5002000,1250500,3751500,36,11.74,789,52.1,STRUCTURED_LEASE,Performing
EQF-2025-00085,06-01-2025,Healthcare,MRI Scanner,5767000,1441750,4325250,48,7.97,598,99,REJECT,60_Days_Past_Due
EQF-2025-00086,06-01-2025,Healthcare,Digital X-Ray System,7748000,774800,6973200,60,10.29,690,84.8,REJECT,Performing
EQF-2025-00087,06-01-2025,Logistics & Fleet,Electric Delivery Van,2431000,243100,2187900,48,10.33,675,65.6,REQUIRE_COLLATERAL,Performing
EQF-2025-00088,06-01-2025,Construction,Tower Crane,7491000,1123650,6367350,36,7,760,46,STRUCTURED_LEASE,Performing
EQF-2025-00089,06-01-2025,IT & Enterprise Tech,Enterprise Server Rack,1147000,172050,974950,36,9.84,636,87,REJECT,Performing
EQF-2025-00090,06-01-2025,Construction,Tower Crane,9552000,955200,8596800,36,11.96,811,43.7,STRUCTURED_LEASE,Performing
EQF-2025-00091,06-01-2025,Manufacturing,CNC Milling Unit,5437000,815550,4621450,36,8.43,614,78.7,REQUIRE_COLLATERAL,Performing
EQF-2025-00092,06-01-2025,Logistics & Fleet,Electric Delivery Van,3749000,749800,2999200,36,7,700,56.5,STRUCTURED_LEASE,Performing
EQF-2025-00093,06-01-2025,Logistics & Fleet,Electric Delivery Van,3872000,387200,3484800,36,9.32,631,83.7,REJECT,Default
EQF-2025-00094,06-01-2025,Construction,Bulldozer,4978000,746700,4231300,24,10.2,752,53.1,STRUCTURED_LEASE,Performing
EQF-2025-00095,06-01-2025,Logistics & Fleet,Forklift Fleet,2987000,746750,2240250,36,9.37,576,94.4,REJECT,Performing
EQF-2025-00096,06-01-2025,Construction,Bulldozer,10628000,1062800,9565200,36,8.07,698,61,STRUCTURED_LEASE,Performing
EQF-2025-00097,07-01-2025,Construction,Hydraulic Excavator,9017000,901700,8115300,48,7.95,697,74.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00098,07-01-2025,Healthcare,MRI Scanner,14665000,3666250,10998750,48,7.07,651,72.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00099,07-01-2025,Manufacturing,Industrial Robotic Arm,6724000,1681000,5043000,36,7,789,44,STRUCTURED_LEASE,60_Days_Past_Due
EQF-2025-00100,07-01-2025,Manufacturing,Industrial Robotic Arm,2729000,409350,2319650,48,8.99,820,30.4,AUTO_APPROVE,Performing
EQF-2025-00101,07-01-2025,Manufacturing,Industrial Robotic Arm,1952000,488000,1464000,48,10.14,683,73.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00102,07-01-2025,Construction,Tower Crane,7410000,1482000,5928000,36,9.74,718,58.9,STRUCTURED_LEASE,Performing
EQF-2025-00103,07-01-2025,Healthcare,MRI Scanner,7936000,793600,7142400,24,9.88,669,69.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00104,07-01-2025,Construction,Tower Crane,4841000,968200,3872800,48,10.45,627,78.3,REQUIRE_COLLATERAL,60_Days_Past_Due
EQF-2025-00105,07-01-2025,IT & Enterprise Tech,Edge AI Compute Cluster,4997000,749550,4247450,36,11.46,637,91,REJECT,Performing
EQF-2025-00106,07-01-2025,Manufacturing,Injection Molding Press,4069000,1017250,3051750,24,9.54,639,75.4,REQUIRE_COLLATERAL,60_Days_Past_Due
EQF-2025-00107,07-01-2025,Healthcare,Digital X-Ray System,7487000,748700,6738300,60,10.02,791,64.3,STRUCTURED_LEASE,Performing
EQF-2025-00108,07-01-2025,Logistics & Fleet,Electric Delivery Van,4430000,1107500,3322500,36,10.03,737,61.6,STRUCTURED_LEASE,Performing
EQF-2025-00109,07-01-2025,Manufacturing,Industrial Robotic Arm,7424000,1856000,5568000,48,9.72,648,81.5,REJECT,Performing
EQF-2025-00110,07-01-2025,Manufacturing,CNC Milling Unit,3995000,599250,3395750,36,9.53,653,75.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00111,07-01-2025,Healthcare,Surgical Robot,13157000,1973550,11183450,24,9.65,645,76.9,REQUIRE_COLLATERAL,Performing
EQF-2025-00112,07-01-2025,Manufacturing,Industrial Robotic Arm,7455000,1118250,6336750,24,11.84,587,94.9,REJECT,Default
EQF-2025-00113,08-01-2025,IT & Enterprise Tech,Edge AI Compute Cluster,3004000,450600,2553400,48,11.65,743,66.1,REQUIRE_COLLATERAL,30_Days_Past_Due
EQF-2025-00114,08-01-2025,Logistics & Fleet,Forklift Fleet,1453000,145300,1307700,36,7,701,70.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00115,08-01-2025,Construction,Tower Crane,2513000,502600,2010400,36,9.83,821,44.6,STRUCTURED_LEASE,Performing
EQF-2025-00116,08-01-2025,IT & Enterprise Tech,Enterprise Server Rack,3521000,704200,2816800,60,9.51,574,96.5,REJECT,Performing
EQF-2025-00117,08-01-2025,Logistics & Fleet,Electric Delivery Van,2507000,250700,2256300,36,11.39,765,50.6,STRUCTURED_LEASE,Performing
EQF-2025-00118,08-01-2025,Manufacturing,CNC Milling Unit,8480000,2120000,6360000,24,9.45,770,47.8,STRUCTURED_LEASE,Performing
EQF-2025-00119,08-01-2025,IT & Enterprise Tech,Enterprise Server Rack,4817000,481700,4335300,36,9.88,779,49.1,STRUCTURED_LEASE,Performing
EQF-2025-00120,08-01-2025,Construction,Tower Crane,8971000,1794200,7176800,48,8.53,725,62.1,STRUCTURED_LEASE,Performing
EQF-2025-00121,08-01-2025,Logistics & Fleet,Forklift Fleet,4830000,966000,3864000,36,10.72,769,44.1,STRUCTURED_LEASE,Performing
EQF-2025-00122,08-01-2025,IT & Enterprise Tech,Enterprise Server Rack,5416000,541600,4874400,24,7.63,729,55.1,STRUCTURED_LEASE,Performing
EQF-2025-00123,08-01-2025,Healthcare,Surgical Robot,7500000,1125000,6375000,36,9.04,661,70.4,REQUIRE_COLLATERAL,Default
EQF-2025-00124,08-01-2025,Manufacturing,Industrial Robotic Arm,2662000,665500,1996500,24,7.92,683,72.5,REQUIRE_COLLATERAL,Performing
EQF-2025-00125,08-01-2025,Manufacturing,CNC Milling Unit,6721000,672100,6048900,48,9.05,682,72.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00126,08-01-2025,Healthcare,Digital X-Ray System,8161000,1632200,6528800,48,8.68,785,47.2,STRUCTURED_LEASE,Performing
EQF-2025-00127,08-01-2025,Logistics & Fleet,Forklift Fleet,2998000,449700,2548300,24,10.76,793,45.9,STRUCTURED_LEASE,Performing
EQF-2025-00128,08-01-2025,IT & Enterprise Tech,Edge AI Compute Cluster,4078000,1019500,3058500,36,9.17,762,47.1,STRUCTURED_LEASE,60_Days_Past_Due
EQF-2025-00129,09-01-2025,Manufacturing,Industrial Robotic Arm,7855000,1571000,6284000,36,11.74,713,75.1,REQUIRE_COLLATERAL,Performing
EQF-2025-00130,09-01-2025,Construction,Hydraulic Excavator,6062000,1515500,4546500,48,9.14,576,99,REJECT,Performing
EQF-2025-00131,09-01-2025,Healthcare,Digital X-Ray System,12616000,1892400,10723600,36,7.88,763,50.9,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00132,09-01-2025,Manufacturing,Industrial Robotic Arm,3378000,675600,2702400,36,9.14,760,54,STRUCTURED_LEASE,60_Days_Past_Due
EQF-2025-00133,09-01-2025,Manufacturing,Industrial Robotic Arm,6386000,957900,5428100,60,10.22,728,64.4,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00134,09-01-2025,Healthcare,MRI Scanner,4017000,401700,3615300,24,12.03,741,57.6,STRUCTURED_LEASE,Performing
EQF-2025-00135,09-01-2025,IT & Enterprise Tech,Automated Storage Array,5332000,533200,4798800,60,8.53,657,81.9,REJECT,Performing
EQF-2025-00136,09-01-2025,Healthcare,Surgical Robot,4334000,1083500,3250500,24,11.99,687,63.7,STRUCTURED_LEASE,Performing
EQF-2025-00137,09-01-2025,Construction,Tower Crane,8558000,1283700,7274300,36,9.22,656,81.7,REJECT,Default
EQF-2025-00138,09-01-2025,Logistics & Fleet,Heavy Duty Hauler,1376000,206400,1169600,36,8.83,699,55.8,STRUCTURED_LEASE,Performing
EQF-2025-00139,09-01-2025,Healthcare,Digital X-Ray System,6929000,1732250,5196750,24,10.66,767,38.6,AUTO_APPROVE,Performing
EQF-2025-00140,09-01-2025,IT & Enterprise Tech,Automated Storage Array,3385000,846250,2538750,24,11.64,738,66.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00141,09-01-2025,IT & Enterprise Tech,Enterprise Server Rack,2984000,746000,2238000,36,10.34,642,83.2,REJECT,Performing
EQF-2025-00142,09-01-2025,Healthcare,Surgical Robot,6110000,611000,5499000,60,7.38,829,34.1,AUTO_APPROVE,Performing
EQF-2025-00143,09-01-2025,Construction,Bulldozer,5337000,1334250,4002750,36,10,721,62,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00144,09-01-2025,Healthcare,MRI Scanner,12005000,1200500,10804500,48,12.76,666,84.1,REJECT,Performing
EQF-2025-00145,10-01-2025,Healthcare,MRI Scanner,11362000,2840500,8521500,48,7,690,65.5,REQUIRE_COLLATERAL,Performing
EQF-2025-00146,10-01-2025,Manufacturing,Industrial Robotic Arm,2003000,300450,1702550,48,10.06,673,70.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00147,10-01-2025,Construction,Tower Crane,8852000,1327800,7524200,48,9.07,724,63.7,STRUCTURED_LEASE,Performing
EQF-2025-00148,10-01-2025,Construction,Bulldozer,2951000,737750,2213250,36,8.1,624,84.2,REJECT,60_Days_Past_Due
EQF-2025-00149,10-01-2025,Manufacturing,CNC Milling Unit,5300000,1325000,3975000,24,11.05,729,49.5,STRUCTURED_LEASE,Performing
EQF-2025-00150,10-01-2025,Healthcare,MRI Scanner,6861000,686100,6174900,36,7,764,42.7,STRUCTURED_LEASE,Performing
EQF-2025-00151,10-01-2025,IT & Enterprise Tech,Edge AI Compute Cluster,3856000,771200,3084800,36,8.97,752,46.3,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00152,10-01-2025,Manufacturing,Injection Molding Press,3329000,332900,2996100,24,11,727,54.6,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00153,10-01-2025,Manufacturing,Injection Molding Press,8395000,1259250,7135750,24,10.83,747,55.6,STRUCTURED_LEASE,Performing
EQF-2025-00154,10-01-2025,Construction,Tower Crane,5133000,1283250,3849750,60,10.39,735,59.7,STRUCTURED_LEASE,Performing
EQF-2025-00155,10-01-2025,IT & Enterprise Tech,Enterprise Server Rack,2058000,308700,1749300,60,9.76,778,64,STRUCTURED_LEASE,Performing
EQF-2025-00156,10-01-2025,Manufacturing,Industrial Robotic Arm,3449000,689800,2759200,24,9.31,694,62.3,STRUCTURED_LEASE,Performing
EQF-2025-00157,10-01-2025,Logistics & Fleet,Electric Delivery Van,4607000,460700,4146300,36,8.79,650,72.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00158,10-01-2025,Logistics & Fleet,Electric Delivery Van,3618000,542700,3075300,24,8.04,733,41.1,STRUCTURED_LEASE,Performing
EQF-2025-00159,10-01-2025,Manufacturing,Industrial Robotic Arm,6615000,661500,5953500,36,10.72,780,50.5,STRUCTURED_LEASE,Performing
EQF-2025-00160,10-01-2025,Logistics & Fleet,Heavy Duty Hauler,4688000,1172000,3516000,36,9.82,684,69.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00161,11-01-2025,Healthcare,Digital X-Ray System,14031000,2104650,11926350,60,10.76,813,43.2,STRUCTURED_LEASE,Performing
EQF-2025-00162,11-01-2025,Construction,Hydraulic Excavator,8781000,1756200,7024800,24,8.33,734,46.1,STRUCTURED_LEASE,Performing
EQF-2025-00163,11-01-2025,Construction,Tower Crane,4182000,418200,3763800,36,8.3,770,55.3,STRUCTURED_LEASE,Performing
EQF-2025-00164,11-01-2025,Construction,Bulldozer,9669000,966900,8702100,24,10.24,634,75.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00165,11-01-2025,Manufacturing,CNC Milling Unit,2926000,585200,2340800,60,7,761,53.2,STRUCTURED_LEASE,Performing
EQF-2025-00166,11-01-2025,Logistics & Fleet,Forklift Fleet,4023000,603450,3419550,60,7,740,60.4,STRUCTURED_LEASE,Performing
EQF-2025-00167,11-01-2025,Healthcare,Digital X-Ray System,11542000,1731300,9810700,48,11.02,847,38.5,AUTO_APPROVE,Performing
EQF-2025-00168,11-01-2025,Manufacturing,Industrial Robotic Arm,6812000,681200,6130800,36,8.44,743,59.7,STRUCTURED_LEASE,Performing
EQF-2025-00169,11-01-2025,Manufacturing,Industrial Robotic Arm,5229000,1045800,4183200,36,9.79,752,50.2,STRUCTURED_LEASE,Performing
EQF-2025-00170,11-01-2025,Construction,Hydraulic Excavator,7929000,792900,7136100,36,10.07,656,73.5,REQUIRE_COLLATERAL,Performing
EQF-2025-00171,11-01-2025,Logistics & Fleet,Forklift Fleet,4823000,482300,4340700,36,11.05,730,59.5,STRUCTURED_LEASE,Performing
EQF-2025-00172,11-01-2025,Manufacturing,CNC Milling Unit,2208000,552000,1656000,48,8.84,784,44.4,STRUCTURED_LEASE,Performing
EQF-2025-00173,11-01-2025,Construction,Hydraulic Excavator,5125000,768750,4356250,36,8.92,687,61.9,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00174,11-01-2025,Manufacturing,Industrial Robotic Arm,5779000,866850,4912150,36,8.58,663,71,REQUIRE_COLLATERAL,Performing
EQF-2025-00175,11-01-2025,Construction,Bulldozer,10694000,2673500,8020500,48,10.43,840,46.3,STRUCTURED_LEASE,Performing
EQF-2025-00176,11-01-2025,Manufacturing,Industrial Robotic Arm,2169000,325350,1843650,36,10.5,691,63,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00177,12-01-2025,Logistics & Fleet,Heavy Duty Hauler,1286000,192900,1093100,48,11.42,768,56.6,STRUCTURED_LEASE,Performing
EQF-2025-00178,12-01-2025,Healthcare,Digital X-Ray System,4613000,691950,3921050,36,7.63,678,69.2,REQUIRE_COLLATERAL,Default
EQF-2025-00179,12-01-2025,IT & Enterprise Tech,Automated Storage Array,1073000,214600,858400,24,12.85,681,82.5,REJECT,Performing
EQF-2025-00180,12-01-2025,Manufacturing,Industrial Robotic Arm,7855000,1963750,5891250,36,9.03,702,67.9,REQUIRE_COLLATERAL,Performing
EQF-2025-00181,12-01-2025,Healthcare,Surgical Robot,11934000,1193400,10740600,60,9.43,747,60.4,STRUCTURED_LEASE,Performing
EQF-2025-00182,12-01-2025,Manufacturing,Injection Molding Press,6240000,1248000,4992000,36,9.75,785,43.7,STRUCTURED_LEASE,Performing
EQF-2025-00183,12-01-2025,IT & Enterprise Tech,Edge AI Compute Cluster,3517000,351700,3165300,36,8.13,673,73.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00184,12-01-2025,IT & Enterprise Tech,Enterprise Server Rack,4866000,1216500,3649500,24,8.88,782,46.1,STRUCTURED_LEASE,Performing
