Client_ID,Client_Industry,Client_Credit_Score
CUST-00142,Healthcare,829
CUST-00143,Construction,721
CUST-00144,Healthcare,666
CUST-00145,Healthcare,690
CUST-00146,Manufacturing,673
CUST-00147,Construction,724
CUST-00148,Construction,624
CUST-00149,Manufacturing,729
CUST-00150,Healthcare,764
CUST-00151,IT & Enterprise Tech,752
CUST-00152,Manufacturing,727
CUST-00153,Manufacturing,747
CUST-00154,Construction,735
CUST-00155,IT & Enterprise Tech,778
CUST-00156,Manufacturing,694
CUST-00157,Logistics & Fleet,650
CUST-00158,Logistics & Fleet,733
CUST-00159,Manufacturing,780
CUST-00160,Logistics & Fleet,684
CUST-00161,Healthcare,813
CUST-00162,Construction,734
CUST-00163,Construction,770
CUST-00164,Construction,634
CUST-00165,Manufacturing,761
CUST-00166,Logistics & Fleet,740
CUST-00167,Healthcare,847
CUST-00168,Manufacturing,743
CUST-00169,Manufacturing,752
CUST-00170,Construction,656
CUST-00171,Logistics & Fleet,730
CUST-00172,Manufacturing,784
CUST-00173,Construction,687
CUST-00174,Manufacturing,663
CUST-00175,Construction,840
CUST-00176,Manufacturing,691
CUST-00177,Logistics & Fleet,768
CUST-00178,Healthcare,678
CUST-00179,IT & Enterprise Tech,681
CUST-00180,Manufacturing,702
CUST-00181,Healthcare,747
CUST-00182,Manufacturing,785
CUST-00183,IT & Enterprise Tech,673
CUST-00184,IT & Enterprise Tech,782
CUST-00185,Healthcare,718
CUST-00186,Logistics & Fleet,698
CUST-00187,Logistics & Fleet,746
CUST-00188,Construction,802
CUST-00189,Construction,743
CUST-00190,Manufacturing,662
CUST-00191,Manufacturing,719
CUST-00192,IT & Enterprise Tech,746
CUST-00193,IT & Enterprise Tech,671
CUST-00194,Construction,728
CUST-00195,Healthcare,663
CUST-00196,Healthcare,751
CUST-00197,Logistics & Fleet,805
CUST-00198,IT & Enterprise Tech,704
CUST-00199,IT & Enterprise Tech,758
CUST-00200,Logistics & Fleet,776
CUST-00201,Construction,682
CUST-00202,Manufacturing,737
CUST-00203,Manufacturing,784
CUST-00204,IT & Enterprise Tech,816
CUST-00205,Construction,691
CUST-00206,Manufacturing,636
CUST-00207,Manufacturing,747
CUST-00208,Logistics & Fleet,724
CUST-00209,Manufacturing,711
CUST-00210,Manufacturing,676
CUST-00211,Construction,767
CUST-00212,Logistics & Fleet,671
CUST-00213,Logistics & Fleet,666
CUST-00214,Manufacturing,701
CUST-00215,Logistics & Fleet,770
CUST-00216,Manufacturing,621
CUST-00217,Healthcare,644
CUST-00218,Logistics & Fleet,656
CUST-00219,Construction,838
CUST-00220,Logistics & Fleet,728
CUST-00221,Logistics & Fleet,642
CUST-00222,Construction,701
CUST-00223,Manufacturing,760
CUST-00224,Healthcare,839
CUST-00225,Healthcare,610
CUST-00226,Manufacturing,640
CUST-00227,IT & Enterprise Tech,688
CUST-00228,Healthcare,690
CUST-00229,IT & Enterprise Tech,689
CUST-00230,Construction,702
CUST-00231,Logistics & Fleet,841
CUST-00232,Construction,627
CUST-00233,Construction,720
CUST-00234,Construction,746
CUST-00235,Manufacturing,615
CUST-00236,Logistics & Fleet,803
CUST-00237,Healthcare,699
CUST-00238,Manufacturing,639
CUST-00239,Construction,810
CUST-00240,Manufacturing,754
CUST-00241,IT & Enterprise Tech,674
CUST-00242,IT & Enterprise Tech,757
CUST-00243,IT & Enterprise Tech,735
CUST-00244,Healthcare,610
CUST-00245,Manufacturing,616
CUST-00246,IT & Enterprise Tech,731
CUST-00247,Healthcare,594
CUST-00248,IT & Enterprise Tech,775
CUST-00249,IT & Enterprise Tech,620
CUST-00250,IT & Enterprise Tech,769
CUST-00251,Healthcare,802
CUST-00252,Healthcare,741
CUST-00253,IT & Enterprise Tech,550
CUST-00254,Healthcare,782
CUST-00255,Manufacturing,681
CUST-00256,Construction,706
CUST-00257,IT & Enterprise Tech,661
CUST-00258,Logistics & Fleet,819
CUST-00259,Construction,721
CUST-00260,Manufacturing,683
CUST-00261,Construction,797
CUST-00262,IT & Enterprise Tech,767
CUST-00263,Manufacturing,636
CUST-00264,Construction,731
CUST-00265,IT & Enterprise Tech,724
CUST-00266,Logistics & Fleet,614
CUST-00267,Logistics & Fleet,763
CUST-00268,Logistics & Fleet,708
CUST-00269,Healthcare,849
CUST-00270,Healthcare,801
CUST-00271,Logistics & Fleet,724
CUST-00272,Logistics & Fleet,704
CUST-00273,IT & Enterprise Tech,577
CUST-00274,IT & Enterprise Tech,764
CUST-00275,Construction,705
CUST-00276,Construction,679
CUST-00277,Logistics & Fleet,711
CUST-00278,Construction,810
CUST-00279,Logistics & Fleet,798
CUST-00280,Logistics & Fleet,798
CUST-00281,IT & Enterprise Tech,642
CUST-00282,Healthcare,812
CUST-00283,Healthcare,678
CUST-00284,Manufacturing,758
CUST-00285,Construction,750
CUST-00286,Manufacturing,700
CUST-00287,Construction,723
CUST-00288,Construction,603
CUST-00289,Healthcare,713
CUST-00290,Construction,694
CUST-00291,Manufacturing,850
CUST-00292,Manufacturing,711
CUST-00293,Logistics & Fleet,663
CUST-00294,Healthcare,717
CUST-00295,Manufacturing,666
CUST-00296,Construction,617
CUST-00297,Logistics & Fleet,736
CUST-00298,Manufacturing,710
CUST-00299,Construction,774
CUST-00300,Manufacturing,804
CUST-00301,Manufacturing,832
CUST-00302,Construction,724
CUST-00303,Construction,754
CUST-00304,Construction,728
CUST-00305,Logistics & Fleet,559
CUST-00306,IT & Enterprise Tech,790
CUST-00307,Construction,745
CUST-00308,Healthcare,746
CUST-00309,Logistics & Fleet,676
CUST-00310,Healthcare,668
CUST-00311,Healthcare,705
CUST-00312,Manufacturing,746
CUST-00313,Manufacturing,583
CUST-00314,IT & Enterprise Tech,723
CUST-00315,Logistics & Fleet,819
CUST-00316,Logistics & Fleet,701
CUST-00317,Healthcare,581
CUST-00318,Manufacturing,697
CUST-00319,Manufacturing,729
CUST-00320,Healthcare,734
CUST-00321,Construction,720
CUST-00322,Logistics & Fleet,835
CUST-00323,Logistics & Fleet,719
CUST-00324,Healthcare,722
CUST-00325,IT & Enterprise Tech,673
CUST-00326,Logistics & Fleet,771
CUST-00327,Construction,820
CUST-00328,Construction,669
CUST-00329,Healthcare,702
CUST-00330,Manufacturing,558
CUST-00331,Healthcare,655
CUST-00332,Logistics & Fleet,838
CUST-00333,Manufacturing,690
CUST-00334,Manufacturing,724
CUST-00335,Manufacturing,662
CUST-00336,Manufacturing,739
CUST-00337,IT & Enterprise Tech,698
CUST-00338,Logistics & Fleet,736
CUST-00339,Construction,716
CUST-00340,Manufacturing,803
CUST-00341,Construction,720
CUST-00342,Construction,655
CUST-00343,Manufacturing,668
CUST-00344,Healthcare,588
CUST-00345,Healthcare,718
CUST-00346,Construction,705
CUST-00347,Construction,808
CUST-00348,Manufacturing,633
CUST-00349,Healthcare,664
CUST-00350,Construction,665
CUST-00351,Construction,693
CUST-00352,IT & Enterprise Tech,628
CUST-00353,Logistics & Fleet,691
CUST-00354,Manufacturing,711
CUST-00355,Manufacturing,713
CUST-00356,Construction,792
CUST-00357,Manufacturing,708
CUST-00358,Construction,706
CUST-00359,IT & Enterprise Tech,784
CUST-00360,Construction,709
CUST-00361,Healthcare,630
CUST-00362,Construction,639
CUST-00363,Construction,640
CUST-00364,Construction,630
CUST-00365,IT & Enterprise Tech,839
CUST-00366,Healthcare,640
CUST-00367,IT & Enterprise Tech,707
CUST-00368,IT & Enterprise Tech,713
CUST-00369,Manufacturing,698
CUST-00370,Manufacturing,659
CUST-00371,Manufacturing,739
CUST-00372,Manufacturing,610
CUST-00373,Manufacturing,640
CUST-00374,Logistics & Fleet,782
CUST-00375,Manufacturing,638
CUST-00376,Healthcare,794
CUST-00377,Logistics & Fleet,799
CUST-00378,Manufacturing,801
CUST-00379,Logistics & Fleet,764
CUST-00380,Healthcare,620
CUST-00381,Manufacturing,610
CUST-00382,Logistics & Fleet,637
CUST-00383,Construction,648
CUST-00384,IT & Enterprise Tech,625
CUST-00385,Logistics & Fleet,665
CUST-00386,Logistics & Fleet,760
CUST-00387,Healthcare,752
CUST-00388,Manufacturing,729
CUST-00389,Logistics & Fleet,696
CUST-00390,Logistics & Fleet,705
CUST-00391,IT & Enterprise Tech,729
CUST-00392,Healthcare,679
CUST-00393,Healthcare,773
CUST-00394,Logistics & Fleet,624
CUST-00395,Healthcare,659
CUST-00396,IT & Enterprise Tech,649
CUST-00397,IT & Enterprise Tech,739
CUST-00398,Healthcare,631
CUST-00399,Logistics & Fleet,650
CUST-00400,Logistics & Fleet,737
CUST-00401,Manufacturing,653
CUST-00402,IT & Enterprise Tech,764
CUST-00403,Construction,762
CUST-00404,Logistics & Fleet,675
CUST-00405,Healthcare,718
CUST-00406,IT & Enterprise Tech,843
CUST-00407,Healthcare,766
CUST-00408,Manufacturing,742
CUST-00409,IT & Enterprise Tech,810
CUST-00410,Manufacturing,647
CUST-00411,Healthcare,791
CUST-00412,IT & Enterprise Tech,733
CUST-00413,IT & Enterprise Tech,804
CUST-00414,Construction,676
CUST-00415,Construction,800
CUST-00416,Healthcare,596
CUST-00417,Healthcare,685
CUST-00418,Healthcare,727
CUST-00419,Logistics & Fleet,752
CUST-00420,Logistics & Fleet,573
CUST-00421,Logistics & Fleet,629
CUST-00422,Logistics & Fleet,639
CUST-00423,Manufacturing,649
CUST-00424,Construction,661
CUST-00425,Manufacturing,720
CUST-00426,Construction,805
CUST-00427,Healthcare,685
CUST-00428,IT & Enterprise Tech,810
CUST-00429,Healthcare,715
CUST-00430,Manufacturing,696
CUST-00431,Manufacturing,777
CUST-00432,Logistics & Fleet,699
CUST-00433,Construction,659
CUST-00434,Manufacturing,796
CUST-00435,Manufacturing,707
CUST-00436,Logistics & Fleet,826
CUST-00437,Manufacturing,686
CUST-00438,Logistics & Fleet,623
CUST-00439,Logistics & Fleet,659
CUST-00440,Manufacturing,666
CUST-00441,Manufacturing,703
CUST-00442,IT & Enterprise Tech,658
CUST-00443,Healthcare,628
CUST-00444,Healthcare,689
CUST-00445,Logistics & Fleet,715
CUST-00446,IT & Enterprise Tech,736
CUST-00447,IT & Enterprise Tech,708
CUST-00448,Logistics & Fleet,798
CUST-00449,Healthcare,713
CUST-00450,Manufacturing,568
CUST-00451,Logistics & Fleet,726
CUST-00452,Construction,710
CUST-00453,Healthcare,757
CUST-00454,IT & Enterprise Tech,637
CUST-00455,Manufacturing,778
CUST-00456,Construction,727
CUST-00457,Manufacturing,718
CUST-00458,Construction,771
CUST-00459,Manufacturing,785
CUST-00460,Manufacturing,779
CUST-00461,Manufacturing,557
CUST-00462,Construction,617
CUST-00463,Logistics & Fleet,681
CUST-00464,Construction,632
CUST-00465,IT & Enterprise Tech,664
CUST-00466,Healthcare,706
CUST-00467,Healthcare,679
CUST-00468,IT & Enterprise Tech,708
CUST-00469,Manufacturing,798
CUST-00470,IT & Enterprise Tech,825
CUST-00471,Manufacturing,734
CUST-00472,IT & Enterprise Tech,796
CUST-00473,Manufacturing,684
CUST-00474,IT & Enterprise Tech,669
CUST-00475,Construction,705
CUST-00476,IT & Enterprise Tech,689
CUST-00477,Manufacturing,753
CUST-00478,Construction,710
CUST-00479,IT & Enterprise Tech,808
CUST-00480,Construction,717
CUST-00481,Construction,664
CUST-00482,Logistics & Fleet,679
CUST-00483,Construction,671
CUST-00484,Construction,757
CUST-00485,Construction,703
CUST-00486,IT & Enterprise Tech,717
CUST-00487,Manufacturing,737
CUST-00488,Healthcare,745
CUST-00489,IT & Enterprise Tech,778
CUST-00490,IT & Enterprise Tech,731
CUST-00491,Construction,647
CUST-00492,Construction,678
CUST-00493,Healthcare,678
CUST-00494,Manufacturing,662
CUST-00495,Construction,777
CUST-00496,Healthcare,700
CUST-00497,Construction,721
CUST-00498,Manufacturing,731
CUST-00499,IT & Enterprise Tech,723
CUST-00500,IT & Enterprise Tech,730
CUST-00501,Logistics & Fleet,850
CUST-00502,Construction,753
CUST-00503,Healthcare,650
CUST-00504,Logistics & Fleet,730
CUST-00505,Logistics & Fleet,716
CUST-00506,Manufacturing,619
CUST-00507,IT & Enterprise Tech,555
CUST-00508,Logistics & Fleet,719
CUST-00509,IT & Enterprise Tech,691
CUST-00510,Logistics & Fleet,635
CUST-00511,Construction,674
CUST-00512,Healthcare,693
CUST-00513,IT & Enterprise Tech,672
CUST-00514,IT & Enterprise Tech,727
CUST-00515,Manufacturing,721
CUST-00516,Manufacturing,761
CUST-00517,Healthcare,785
CUST-00518,Logistics & Fleet,751
CUST-00519,IT & Enterprise Tech,665
CUST-00520,Manufacturing,720
CUST-00521,Construction,605
CUST-00522,Healthcare,679
CUST-00523,IT & Enterprise Tech,550
CUST-00524,Logistics & Fleet,687
CUST-00525,Logistics & Fleet,675
CUST-00526,Construction,754
CUST-00527,Healthcare,647
CUST-00528,Healthcare,721
CUST-00529,Manufacturing,685
CUST-00530,IT & Enterprise Tech,682
CUST-00531,Logistics & Fleet,660
CUST-00532,IT & Enterprise Tech,729
CUST-00533,IT & Enterprise Tech,699
CUST-00534,Construction,647
CUST-00535,Logistics & Fleet,718
CUST-00536,IT & Enterprise Tech,729
CUST-00537,Logistics & Fleet,809
CUST-00538,Manufacturing,672
CUST-00539,Construction,684
CUST-00540,Manufacturing,626
CUST-00541,IT & Enterprise Tech,680
CUST-00542,Construction,641
CUST-00543,Manufacturing,781
CUST-00544,Logistics & Fleet,743
CUST-00545,Construction,640
CUST-00546,Healthcare,646
CUST-00547,Manufacturing,674
CUST-00548,Logistics & Fleet,794
CUST-00549,Construction,670
CUST-00550,Logistics & Fleet,698
CUST-00551,Construction,809
CUST-00552,IT & Enterprise Tech,736
CUST-00553,Construction,615
CUST-00554,Construction,590
CUST-00555,IT & Enterprise Tech,716
CUST-00556,Healthcare,850
CUST-00557,Manufacturing,798
CUST-00558,Manufacturing,734
CUST-00559,Logistics & Fleet,761
CUST-00560,Construction,765
CUST-00561,Logistics & Fleet,603
CUST-00562,Manufacturing,723
CUST-00563,Manufacturing,795
CUST-00564,Manufacturing,845
CUST-00565,Healthcare,742
CUST-00566,Construction,621
CUST-00567,Healthcare,747
CUST-00568,Healthcare,746
CUST-00569,IT & Enterprise Tech,766
CUST-00570,Healthcare,736
CUST-00571,Construction,830
CUST-00572,Logistics & Fleet,722
CUST-00573,Healthcare,713
CUST-00574,Construction,692
CUST-00575,IT & Enterprise Tech,716
CUST-00576,IT & Enterprise Tech,728
CUST-00577,Manufacturing,717
CUST-00578,IT & Enterprise Tech,760
CUST-00579,Construction,575
CUST-00580,Healthcare,701
CUST-00581,Construction,743
CUST-00582,IT & Enterprise Tech,728
CUST-00583,Construction,627
CUST-00584,Healthcare,744
CUST-00585,Construction,713
CUST-00586,Manufacturing,759
CUST-00587,Manufacturing,747
CUST-00588,Manufacturing,731
CUST-00589,Manufacturing,710
CUST-00590,Manufacturing,728
CUST-00591,Manufacturing,728
CUST-00592,Construction,796
CUST-00593,Manufacturing,850
CUST-00594,Healthcare,640
CUST-00595,IT & Enterprise Tech,550
CUST-00596,Construction,675
CUST-00597,Logistics & Fleet,648
CUST-00598,Manufacturing,764
CUST-00599,Manufacturing,806
CUST-00600,Manufacturing,763
CUST-00601,Manufacturing,689
CUST-00602,Healthcare,757
CUST-00603,Manufacturing,788
CUST-00604,Manufacturing,753
CUST-00605,Manufacturing,745
CUST-00606,Construction,702
CUST-00607,Manufacturing,630
CUST-00608,Healthcare,781
CUST-00609,Construction,820
CUST-00610,Logistics & Fleet,620
CUST-00611,Manufacturing,759
CUST-00612,Logistics & Fleet,657
CUST-00613,Construction,740
CUST-00614,Manufacturing,619
CUST-00615,IT & Enterprise Tech,760
CUST-00616,IT & Enterprise Tech,737
CUST-00617,Manufacturing,763
CUST-00618,Healthcare,752
CUST-00619,Logistics & Fleet,722
CUST-00620,Logistics & Fleet,761
CUST-00621,Manufacturing,681
CUST-00622,Manufacturing,747
CUST-00623,Healthcare,674
CUST-00624,Construction,750
CUST-00625,Construction,697
CUST-00626,Healthcare,741
CUST-00627,Construction,691
CUST-00628,Logistics & Fleet,692
CUST-00629,Manufacturing,695
CUST-00630,Healthcare,623
CUST-00631,Logistics & Fleet,766
CUST-00632,IT & Enterprise Tech,713
CUST-00633,Construction,626
CUST-00634,Construction,674
CUST-00635,Manufacturing,671
CUST-00636,Healthcare,735
CUST-00637,Construction,696
CUST-00638,Manufacturing,768
CUST-00639,Healthcare,632
CUST-00640,Healthcare,738
CUST-00641,Manufacturing,733
CUST-00642,Healthcare,682
CUST-00643,Manufacturing,726
CUST-00644,Healthcare,707
CUST-00645,Manufacturing,788
CUST-00646,IT & Enterprise Tech,715
CUST-00647,Construction,783
CUST-00648,Logistics & Fleet,764
CUST-00649,Logistics & Fleet,629
CUST-00650,Construction,704
CUST-00651,Manufacturing,764
CUST-00652,Construction,725
CUST-00653,Construction,715
CUST-00654,Logistics & Fleet,719
CUST-00655,Healthcare,749
CUST-00656,Manufacturing,684
CUST-00657,Healthcare,691
CUST-00658,Healthcare,764
CUST-00659,Construction,723
CUST-00660,Construction,698
CUST-00661,Healthcare,712
CUST-00662,IT & Enterprise Tech,743
CUST-00663,Construction,708
CUST-00664,Manufacturing,720
CUST-00665,Manufacturing,598
CUST-00666,Manufacturing,725
CUST-00667,Manufacturing,701
CUST-00668,Manufacturing,769
CUST-00669,Manufacturing,706
CUST-00670,Healthcare,806
CUST-00671,Manufacturing,749
CUST-00672,IT & Enterprise Tech,661
CUST-00673,Manufacturing,629
CUST-00674,Construction,704
CUST-00675,Healthcare,711
CUST-00676,IT & Enterprise Tech,599
CUST-00677,Manufacturing,706
CUST-00678,Healthcare,688
CUST-00679,IT & Enterprise Tech,723
CUST-00680,IT & Enterprise Tech,841
CUST-00681,Logistics & Fleet,601
CUST-00682,Healthcare,771
CUST-00683,Manufacturing,741
CUST-00684,Logistics & Fleet,677
CUST-00685,IT & Enterprise Tech,711
CUST-00686,Construction,769
CUST-00687,Construction,717
CUST-00688,Healthcare,584
CUST-00689,Logistics & Fleet,733
CUST-00690,Manufacturing,756
CUST-00691,Healthcare,683
CUST-00692,Healthcare,766
CUST-00693,Construction,771
CUST-00694,Manufacturing,794
CUST-00695,Manufacturing,775
CUST-00696,Construction,850
CUST-00697,Healthcare,785
CUST-00698,Construction,721
CUST-00699,Manufacturing,762
CUST-00700,Construction,718
CUST-00701,Construction,693
CUST-00702,Manufacturing,642
CUST-00703,Healthcare,702
CUST-00704,Manufacturing,768
CUST-00705,Manufacturing,657
CUST-00706,IT & Enterprise Tech,737
CUST-00707,Healthcare,688
CUST-00708,Logistics & Fleet,713
CUST-00709,Healthcare,709
CUST-00710,Logistics & Fleet,726
CUST-00711,Logistics & Fleet,850
CUST-00712,Construction,679
CUST-00713,Construction,711
CUST-00714,Healthcare,699
CUST-00715,Healthcare,616
CUST-00716,IT & Enterprise Tech,769
CUST-00717,Logistics & Fleet,659
CUST-00718,IT & Enterprise Tech,803
CUST-00719,Manufacturing,662
CUST-00720,Logistics & Fleet,738
CUST-00721,IT & Enterprise Tech,826
CUST-00722,Manufacturing,743
CUST-00723,Manufacturing,675
CUST-00724,Logistics & Fleet,655
CUST-00725,Construction,571
CUST-00726,Logistics & Fleet,689
CUST-00727,Manufacturing,621
CUST-00728,Logistics & Fleet,711
CUST-00729,Manufacturing,685
CUST-00730,Manufacturing,719
CUST-00731,Manufacturing,638
CUST-00732,Logistics & Fleet,679
CUST-00733,Logistics & Fleet,747
CUST-00734,Construction,732
CUST-00735,Healthcare,593
CUST-00736,IT & Enterprise Tech,763
CUST-00737,Healthcare,642
CUST-00738,Logistics & Fleet,611
CUST-00739,Healthcare,696
CUST-00740,Healthcare,850
CUST-00741,Construction,688
CUST-00742,Healthcare,717
CUST-00743,Logistics & Fleet,755
CUST-00744,Construction,654
CUST-00745,Manufacturing,730
CUST-00746,IT & Enterprise Tech,656
CUST-00747,Healthcare,746
CUST-00748,Construction,736
CUST-00749,IT & Enterprise Tech,730
CUST-00750,Construction,721
CUST-00751,Manufacturing,840
CUST-00752,IT & Enterprise Tech,725
CUST-00753,Construction,744
CUST-00754,Healthcare,734
CUST-00755,Manufacturing,644
CUST-00756,Logistics & Fleet,660
CUST-00757,Construction,639
CUST-00758,Construction,659
CUST-00759,IT & Enterprise Tech,677
CUST-00760,Logistics & Fleet,696
CUST-00761,Manufacturing,696
CUST-00762,Healthcare,747
CUST-00763,Manufacturing,797
CUST-00764,Logistics & Fleet,784
CUST-00765,Manufacturing,728
CUST-00766,Construction,656
CUST-00767,Logistics & Fleet,778
CUST-00768,IT & Enterprise Tech,674
CUST-00769,Healthcare,738
CUST-00770,Logistics & Fleet,728
CUST-00771,Manufacturing,641
CUST-00772,Logistics & Fleet,675
CUST-00773,Manufacturing,743
CUST-00774,Healthcare,700
CUST-00775,Logistics & Fleet,850
CUST-00776,Manufacturing,681
CUST-00777,Manufacturing,644
CUST-00778,Logistics & Fleet,714
CUST-00779,Logistics & Fleet,689
CUST-00780,Construction,598
CUST-00781,Logistics & Fleet,764
CUST-00782,Construction,774
CUST-00783,Healthcare,765
CUST-00784,Healthcare,730
CUST-00785,Manufacturing,701
CUST-00786,IT & Enterprise Tech,721
CUST-00787,Construction,702
CUST-00788,Healthcare,668
CUST-00789,Construction,810
CUST-00790,IT & Enterprise Tech,792
CUST-00791,Manufacturing,752
CUST-00792,Construction,682
CUST-00793,Construction,748
CUST-00794,Construction,694
CUST-00795,Manufacturing,691
CUST-00796,IT & Enterprise Tech,708
CUST-00797,IT & Enterprise Tech,738
CUST-00798,Construction,683
CUST-00799,Logistics & Fleet,700
CUST-00800,IT & Enterprise Tech,795
CUST-00801,Logistics & Fleet,601
CUST-00802,Manufacturing,776
CUST-00803,Construction,701
CUST-00804,Construction,680
CUST-00805,Healthcare,690
CUST-00806,Logistics & Fleet,710
CUST-00807,IT & Enterprise Tech,770
CUST-00808,IT & Enterprise Tech,721
CUST-00809,Construction,678
CUST-00810,Manufacturing,754
CUST-00811,IT & Enterprise Tech,703
CUST-00812,Logistics & Fleet,744
CUST-00813,Manufacturing,727
CUST-00814,IT & Enterprise Tech,640
CUST-00815,IT & Enterprise Tech,747
CUST-00816,Construction,603
CUST-00817,Construction,703
CUST-00818,Healthcare,644
CUST-00819,Manufacturing,581
CUST-00820,Healthcare,726
CUST-00821,Logistics & Fleet,764
CUST-00822,Manufacturing,707
CUST-00823,Healthcare,793
CUST-00824,Healthcare,710
CUST-00825,Construction,721
CUST-00826,IT & Enterprise Tech,655
CUST-00827,Healthcare,747
CUST-00828,Healthcare,744
CUST-00829,Logistics & Fleet,682
CUST-00830,Construction,626
CUST-00831,Manufacturing,612
CUST-00832,Construction,775
CUST-00833,Manufacturing,634
CUST-00834,Manufacturing,808
CUST-00835,Construction,659
CUST-00836,Healthcare,690
CUST-00837,IT & Enterprise Tech,850
CUST-00838,Healthcare,679
CUST-00839,Construction,647
CUST-00840,Construction,687
CUST-00841,Manufacturing,611
CUST-00842,Logistics & Fleet,691
CUST-00843,Manufacturing,714
CUST-00844,IT & Enterprise Tech,774
CUST-00845,Manufacturing,743
